id,date,title,bv_off,page_off,start_t,end_t,band,genre,链接off,备注,bv_on,page_on,bv_n1,page_n1,bv_f1,page_f1,start_1,end_1
63,2020/09/30,needLe,BV1KiySYBEHn,1,00:00:51,00:01:31,ln,Leo/need演唱歌曲/原创歌曲,needLe,,,,,,,,,
64,2020/10/18,ステラ,BV1KiySYBEHn,2,00:01:05,00:02:02,ln,Leo/need演唱歌曲/原创歌曲,ステラ,,,,,,,,,
97,2021/01/10,霽れを待つ,BV1KizmBrEKG,4,00:00:55,00:01:39,ln,Leo/need演唱歌曲/原创歌曲,霽れを待つ,,,,,,,,,
132,2021/04/21,「1」,BV1KiySYBEHn,3,00:00:40,00:01:11,ln,Leo/need演唱歌曲/原创歌曲,「1」,,BV1Am4y1w71z,1,,,,,,
130,2021/07/07,フロムトーキョー,BV1ExWwz2ERj,2,00:00:26,00:01:04,ln,Leo/need演唱歌曲/原创歌曲,フロムトーキョー,,,,,,,,,
173,2021/09/10,流星のパルス,BV19v4y1d7Wg,2,00:01:05,00:01:54,ln,Leo/need演唱歌曲/原创歌曲,流星のパルス,,,,,,,,,
159,2021/11/18,STAGE OF SEKAI,BV1Srv6BJEm2,2,00:00:50,00:01:19,ln,Leo/need演唱歌曲/原创歌曲,STAGE OF SEKAI,,,,,,,,,
207,2022/02/18,Peaky Peaky,BV15FH4eLEMS,4,00:00:38,00:01:11,ln,Leo/need演唱歌曲/原创歌曲,Peaky Peaky,,,,,,,,,
196,2022/04/28,オーダーメイド,BV1kg6ZBAEfT,4,00:00:48,00:01:21,ln,Leo/need演唱歌曲/原创歌曲,オーダーメイド,,,,,,,,,
257,2022/07/21,てらてら,BV1KiySYBEHn,5,00:00:48,00:01:19,ln,Leo/need演唱歌曲/原创歌曲,てらてら,,,,,,,,,
236,2022/09/07,Voices,BV1xaXkYiEov,4,00:00:40,00:01:19,ln,Leo/need演唱歌曲/原创歌曲,Voices,,,,,,,,,
259,2022/11/18,the WALL,BV1H3ktYtE63,1,00:00:37,00:01:15,ln,Leo/need演唱歌曲/原创歌曲,the WALL,,,,,,,,,
310,2023/01/21,Flyway,BV1mXGnzDE8e,4,00:00:37,00:01:30,ln,Leo/need演唱歌曲/原创歌曲,Flyway,,,,,,,,,
351,2023/04/11,相生,BV1KiySYBEHn,7,00:01:00,00:01:42,ln,Leo/need演唱歌曲/原创歌曲,相生,チーズなん,,,,,,,,
375,2023/07/21,星を繋ぐ,BV15kthzAENQ,2,00:00:33,00:01:20,ln,Leo/need演唱歌曲/原创歌曲,星を繋ぐ,,,,,,,,,
383,2023/10/29,purpose,BV14ditBLEsr,2,00:00:40,00:01:26,ln,Leo/need演唱歌曲/原创歌曲,purpose,,,,,,,,,
423,2024/02/18,レグルス,BV1Vt42187c1,1,00:00:28,00:01:21,ln,Leo/need演唱歌曲/原创歌曲,レグルス,,,,,,,,,
424,2024/03/01,インテグラル,BV1hxRoY9ENd,3,00:00:59,00:01:37,ln,Leo/need演唱歌曲/原创歌曲,インテグラル,チーズなん,,,,,,,,
